                                                                                                                                                                                                                                                                



                        1                        2                        3                        4                        5                        6                        7
                        l                     n_pg                      n_p                      n_g                Re(omega)                Im(omega)                   E_norm
                        2                      -32                        0                       32  0.2031820497134547E+000  0.0000000000000000E+000  0.3370496119530304E-004
                        2                      -31                        0                       31  0.2092628718985872E+000  0.0000000000000000E+000  0.4083686222568134E-004
                        2                      -30                        0                       30  0.2157204682830921E+000  0.0000000000000000E+000  0.4973201483778248E-004
                        2                      -29                        0                       29  0.2225910995503277E+000  0.0000000000000000E+000  0.6089217340401615E-004
                        2                      -28                        0                       28  0.2299158458605942E+000  0.0000000000000000E+000  0.7498152874300022E-004
                        2                      -27                        0                       27  0.2377414365336210E+000  0.0000000000000000E+000  0.9288598663741263E-004
                        2                      -26                        0                       26  0.2461212574387381E+000  0.0000000000000000E+000  0.1157966520599923E-003
                        2                      -25                        0                       25  0.2551165821628515E+000  0.0000000000000000E+000  0.1453285116473912E-003
                        2                      -24                        0                       24  0.2647980872212835E+000  0.0000000000000000E+000  0.1836908307830845E-003
                        2                      -23                        0                       23  0.2752477308571238E+000  0.0000000000000000E+000  0.2339343624732836E-003
                        2                      -22                        0                       22  0.2865611015129267E+000  0.0000000000000000E+000  0.3003139601304229E-003
                        2                      -21                        0                       21  0.2988503789650565E+000  0.0000000000000000E+000  0.3888266817318161E-003
                        2                      -20                        0                       20  0.3122481031413436E+000  0.0000000000000000E+000  0.5080201754778935E-003
                        2                      -19                        0                       19  0.3269120199610400E+000  0.0000000000000000E+000  0.6702229482671216E-003
                        2                      -18                        0                       18  0.3430313813245212E+000  0.0000000000000000E+000  0.8934424814735667E-003
                        2                      -17                        0                       17  0.3608352352190133E+000  0.0000000000000000E+000  0.1204336245573038E-002
                        2                      -16                        0                       16  0.3806034801641834E+000  0.0000000000000000E+000  0.1642932942189549E-002
                        2                      -15                        0                       15  0.4026818225765272E+000  0.0000000000000000E+000  0.2270254280709285E-002
                        2                      -14                        0                       14  0.4275023447889294E+000  0.0000000000000000E+000  0.3180820733417352E-002
                        2                      -13                        0                       13  0.4556123017246119E+000  0.0000000000000000E+000  0.4523509478752026E-002
                        2                      -12                        0                       12  0.4877152586425879E+000  0.0000000000000000E+000  0.6536897006813367E-002
                        2                      -11                        0                       11  0.5247312087785713E+000  0.0000000000000000E+000  0.9609984438688208E-002
                        2                      -10                        0                       10  0.5678867241486613E+000  0.0000000000000000E+000  0.1438751496461113E-001
                        2                       -9                        0                        9  0.6188542010804152E+000  0.0000000000000000E+000  0.2195245626460843E-001
                        2                       -8                        0                        8  0.6799744272161976E+000  0.0000000000000000E+000  0.3413442979341147E-001
                        2                       -7                        0                        7  0.7546268752275868E+000  0.0000000000000000E+000  0.5398702075368866E-001
                        2                       -6                        0                        6  0.8478757552649099E+000  0.0000000000000000E+000  0.8631890454615791E-001
                        2                       -5                        0                        5  0.9676634029761209E+000  0.0000000000000000E+000  0.1373028821992280E+000
                        2                       -4                        0                        4  0.1127172997517023E+001  0.0000000000000000E+000  0.2087949072453768E+000
                        2                       -3                        0                        3  0.1349915220083750E+001  0.0000000000000000E+000  0.2749857687066327E+000
                        2                       -2                        0                        2  0.1681710901619732E+001  0.0000000000000000E+000  0.2439598883023655E+000
                        2                       -1                        0                        1  0.2216883717638565E+001  0.0000000000000000E+000  0.7075967943777137E-001
                        2                        0                        0                        0  0.2859255098311304E+001  0.0000000000000000E+000  0.4187077620486437E-002
                        2                        1                        1                        0  0.3906873724633537E+001  0.0000000000000000E+000  0.1770919206557732E-003
                        2                        2                        2                        0  0.5169468633789475E+001  0.0000000000000000E+000  0.2108557879405922E-004
                        2                        3                        3                        0  0.6439990411573103E+001  0.0000000000000000E+000  0.4245321248302714E-005
                        2                        4                        4                        0  0.7708950899483765E+001  0.0000000000000000E+000  0.1166004602462261E-005
                        2                        5                        5                        0  0.8975891443999764E+001  0.0000000000000000E+000  0.3941859004445404E-006
                        2                        6                        6                        0  0.1024094633877110E+002  0.0000000000000000E+000  0.1547303231470701E-006
                        2                        7                        7                        0  0.1150425999628216E+002  0.0000000000000000E+000  0.6799209616181570E-007
                        2                        8                        8                        0  0.1276595361032369E+002  0.0000000000000000E+000  0.3263735135178571E-007
                        2                        9                        9                        0  0.1402613422253912E+002  0.0000000000000000E+000  0.1682112245294586E-007
                        2                       10                       10                        0  0.1528490112864874E+002  0.0000000000000000E+000  0.9191778484329213E-008
                        3                      -21                        0                       21  0.4129511861268209E+000  0.0000000000000000E+000  0.3396967628589236E-003
                        3                      -20                        0                       20  0.4309791735664862E+000  0.0000000000000000E+000  0.4416985158101838E-003
                        3                      -19                        0                       19  0.4506607800457929E+000  0.0000000000000000E+000  0.5797230913386429E-003
                        3                      -18                        0                       18  0.4722351313669947E+000  0.0000000000000000E+000  0.7685093270314336E-003
                        3                      -17                        0                       17  0.4959898653541832E+000  0.0000000000000000E+000  0.1029695131702802E-002
                        3                      -16                        0                       16  0.5222741011262614E+000  0.0000000000000000E+000  0.1395468051342905E-002
                        3                      -15                        0                       15  0.5515158063841363E+000  0.0000000000000000E+000  0.1914369936926440E-002
                        3                      -14                        0                       14  0.5842454077923431E+000  0.0000000000000000E+000  0.2660646349733795E-002
                        3                      -13                        0                       13  0.6211284308829587E+000  0.0000000000000000E+000  0.3749481032619843E-002
                        3                      -12                        0                       12  0.6630114743672550E+000  0.0000000000000000E+000  0.5362040065321630E-002
                        3                      -11                        0                       11  0.7109883410205063E+000  0.0000000000000000E+000  0.7786776317508462E-002
                        3                      -10                        0                       10  0.7664974505643336E+000  0.0000000000000000E+000  0.1148700753319483E-001
                        3                       -9                        0                        9  0.8314692764368380E+000  0.0000000000000000E+000  0.1720798471725896E-001
                        3                       -8                        0                        8  0.9085565738906947E+000  0.0000000000000000E+000  0.2613167369632684E-001
                        3                       -7                        0                        7  0.1001507200041261E+001  0.0000000000000000E+000  0.4004261807650983E-001
                        3                       -6                        0                        6  0.1115794261586617E+001  0.0000000000000000E+000  0.6127359592149265E-001
                        3                       -5                        0                        5  0.1259737062407815E+001  0.0000000000000000E+000  0.9153882987027843E-001
                        3                       -4                        0                        4  0.1446621860892831E+001  0.0000000000000000E+000  0.1271225766845763E+000
                        3                       -3                        0                        3  0.1699020485510823E+001  0.0000000000000000E+000  0.1470859488994854E+000
                        3                       -2                        0                        2  0.2058262427764107E+001  0.0000000000000000E+000  0.1086449950742127E+000
                        3                       -1                        0                        1  0.2601340428356965E+001  0.0000000000000000E+000  0.2164501384911042E-001
                        3                        0                        0                        0  0.3068190444949539E+001  0.0000000000000000E+000  0.1394925894332552E-002
                        3                        1                        1                        0  0.4294602243021564E+001  0.0000000000000000E+000  0.8048175104262577E-004
                        3                        2                        2                        0  0.5591066639579350E+001  0.0000000000000000E+000  0.1156668762749742E-004
                        3                        3                        3                        0  0.6878679869538726E+001  0.0000000000000000E+000  0.2602056691214228E-005
                        3                        4                        4                        0  0.8158826201054829E+001  0.0000000000000000E+000  0.7701993539576990E-006
                        3                        5                        5                        0  0.9433910812325800E+001  0.0000000000000000E+000  0.2748737311067020E-006
                        3                        6                        6                        0  0.1070534801882872E+002  0.0000000000000000E+000  0.1124253531076173E-006
                        3                        7                        7                        0  0.1197395590672116E+002  0.0000000000000000E+000  0.5102348006229952E-007
                        3                        8                        8                        0  0.1324023810017894E+002  0.0000000000000000E+000  0.2513821001031050E-007
                        3                        9                        9                        0  0.1450452913952339E+002  0.0000000000000000E+000  0.1323700461884627E-007
                        3                       10                       10                        0  0.1576706821999493E+002  0.0000000000000000E+000  0.7364533986733424E-008
